Date;ls_vnindex;ls_US;ls_EU;ls_TQ;ls_TL;ls_SI;fx_US;fx_EU;fx_TQ;fx_TL ;fx_SI;cpi_ US;cpi_ EU;cpi_ TQ;cpi_ TL;cpi_ SI;M2_US;M2_EU;M2_TQ;M2_SI
02/01/2001;2,69%;5,49%;5,02%;3,24%;1,50%;1,76%;0,13%;-1,26%;-1,26%;-1,26%;0,06%;3,72%;2,10%;0,00%;1,44%;1,31%;0,77%;0,53%;-0,97%;0,21%
03/01/2001;6,70%;5,31%;4,94%;3,24%;1,50%;2,11%;-0,14%;-5,03%;-5,02%;-4,41%;-3,52%;3,53%;2,08%;0,80%;1,44%;1,85%;1,15%;0,45%;1,86%;0,92%
04/01/2001;19,22%;4,80%;5,10%;3,24%;1,50%;2,13%;0,15%;1,28%;1,28%;-1,22%;-0,72%;2,98%;2,26%;1,60%;2,53%;1,98%;1,26%;0,68%;0,87%;0,64%
05/01/2001;25,91%;4,21%;5,26%;3,24%;1,50%;2,15%;0,65%;-4,12%;-4,12%;1,26%;1,31%;3,22%;2,77%;1,70%;2,77%;1,93%;-0,06%;0,39%;-0,67%;-0,57%
06/01/2001;23,75%;3,97%;5,21%;3,24%;2,50%;2,14%;1,25%;1,73%;1,74%;1,41%;0,49%;3,56%;3,12%;1,40%;2,16%;1,21%;0,79%;0,86%;6,33%;-0,83%
07/01/2001;-15,56%;3,77%;5,25%;3,24%;2,50%;2,15%;0,67%;3,77%;3,77%;-0,26%;1,77%;3,19%;2,93%;1,50%;2,16%;1,30%;0,58%;0,29%;0,96%;-2,07%
08/01/2001;-34,34%;3,65%;5,06%;3,24%;2,50%;2,10%;0,33%;4,48%;4,48%;4,14%;3,97%;2,72%;2,60%;1,00%;1,43%;0,71%;0,65%;0,46%;0,48%;0,26%
09/01/2001;-11,87%;3,07%;5,04%;3,24%;2,50%;1,67%;0,07%;-0,02%;-0,02%;-0,83%;-1,40%;2,72%;2,44%;-0,10%;1,31%;0,55%;2,12%;0,71%;1,25%;1,76%
10/01/2001;6,48%;2,49%;4,82%;3,24%;2,50%;0,65%;0,19%;-1,12%;-1,12%;-0,39%;-2,96%;2,59%;2,27%;0,20%;1,31%;0,22%;-0,21%;0,44%;-0,21%;0,47%
11/01/2001;10,85%;2,09%;4,67%;3,24%;2,50%;1,16%;0,23%;-0,12%;-0,13%;2,00%;-0,21%;2,13%;2,31%;-0,30%;0,95%;-0,21%;0,82%;0,77%;1,71%;3,06%
